"well" "jazz" "museums" "paintings" "center" "march" "much" "images" "opera" "studio" "says" "morris" "west" "no" "performance" "gifts" "music" "last" "company" "her" "get" "major" "strike" "stage" "collection" "life" "building" "barbera" "me" "artist" "cat"
"1" 0 0 0 4 12 20 0 0 0 4 6 0 12 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 1
"2" 0 0 0 3 0 17 0 0 0 0 2 0 3 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1
"3" 0 0 0 1 0 0 0 0 3 0 2 0 2 0 0 0 0 5 0 0 0 22 0 0 0 0 0 0 0 0 1
"4" 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"5" 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1
"6" 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1
"7" 0 0 0 0 23 0 0 0 0 6 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1
"8" 0 0 0 3 1 0 0 0 7 1 0 0 0 0 0 0 0 1 0 1 0 4 0 1 0 0 0 1 0 0 1
"9" 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 6 0 7 0 0 0 0 6 0 0 0 0 0 1
"10" 0 0 0 5 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"11" 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 0 1 1 2 0 1 1 0 0 0 9 0 1
"12" 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 4 0 3 0 2 0 0 0 0 0 0 0 0 1
"13" 0 0 0 2 0 0 0 0 0 18 5 0 0 0 3 0 0 1 0 3 0 0 0 0 0 0 0 0 3 0 1
"14" 0 0 0 7 0 0 0 0 0 15 0 0 0 0 1 0 0 1 1 0 0 0 0 0 4 0 0 0 1 0 1
"15" 0 0 0 0 4 3 0 0 25 5 4 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 1
"16" 0 0 0 0 0 3 0 0 17 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 3 0 2 1 1 0 1
"17" 0 0 0 0 0 1 0 0 0 3 0 0 2 1 2 0 0 5 0 0 0 0 0 0 0 0 2 0 0 0 1
"18" 0 0 0 0 0 1 0 0 2 0 3 0 0 0 0 0 0 1 0 4 0 1 0 0 3 0 1 2 1 0 1
"19" 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0 0 1
"20" 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 2 0 1
"21" 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 1 0 1 6 0 1 0 0 0 1
"22" 0 0 0 2 0 1 0 0 2 0 2 2 0 0 0 0 0 1 0 0 0 1 0 0 6 0 0 0 0 12 1
"23" 0 0 0 4 0 3 0 0 1 0 3 2 0 0 0 0 0 0 0 2 0 1 0 3 2 0 2 0 2 0 1
